"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",472.8,19,73.2,81.6,66.1,75,0.27,227,15,0.4,4.2,14.8,"Rs46_LA"
"Max",1208.6,23,74.9,83.2,68,80,0.52,249,21,0.48,5.5,17.2,NA
"Min",0,17,70.8,79.4,63.6,70,0.24,189,12,0.48,3.6,13.5,NA
