"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-01","1927-04","59","-0.46","-1.49","-27.05"
"1927-06","1929-12","27","-0.79","-2.03","-21.36"
"1930-12","1936-10","70","-0.75","-1.79","-52.78"
"1938-03","1939-10","19","-0.52","-1.11","-9.79"
"1941-03","1943-01","22","-1.1","-2.12","-24.26"
"1944-01","1946-01","24","-0.68","-2.56","-16.32"
"1946-02","1948-11","33","-0.79","-2.4","-25.94"
"1949-02","1954-11","53","-0.72","-2.45","-38.14"
"1957-02","1961-10","34","-0.69","-1.99","-23.45"
"1964-03","1965-01","10","-0.7","-1.01","-6.97"
"1966-11","1974-01","26","-0.82","-1.68","-21.37"
"1975-09","1979-01","40","-0.75","-1.79","-30.07"
"1981-02","1982-01","11","-0.83","-1.05","-9.09"
"1983-07","1985-11","28","-0.74","-1.39","-20.59"
"1985-12","1996-11","58","-0.54","-1.07","-31.2"
"1998-01","2002-01","48","-0.82","-1.45","-39.51"
"2003-10","2014-03","78","-0.76","-1.65","-59.2"
"2016-02","2019-12","10","-0.11","-0.23","-1.1"
