"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"OCT",4.9,"SEL",10,6.41,2,1.51,-2.9,0.68,0.67,0.19,0.16,21.9,23.06,6.2,4.7,-63.7
"OCT",4.9,"WEL",10,4.1,2.3,-0.8,-2.6,0.4,0.38,0.21,0.19,21.9,19.8,8.5,-8.5,-54.4
"OCT",4.9,"NUT",30,4.7,0.5,-0.2,0.5,0.47,0.5,0.09,0.12,21.9,22.7,6.3,3.2,-63.3
"OCT",4.9,"WLA",10,6.2,2.3,1.3,-2.6,0.65,0.64,0.21,0.19,21.9,26.3,6.2,17.9,-63.7
"OCT",4.9,"SLA",8,4,3.2,-0.9,-1.7,0.39,0.37,0.3,0.28,21.9,18.1,6.6,-15.4,-62.1
"NOV",8,"SEL",14,8.74,1.3,0.74,-6.7,0.56,0.56,0.11,0.07,25.3,22.46,5.2,-10.1,-71.7
"NOV",8,"WEL",12,7.2,2.3,-0.8,-6,0.44,0.43,0.15,0.11,25.3,24,6.6,-4.6,-66.7
"NOV",8,"NUT",22,8.8,2,0.8,2,0.56,0.5,0.13,0.18,25.3,28.5,7.2,11.4,-64.5
"NOV",8,"WLA",11,8,2,0,-6,0.5,0.62,0.13,0.09,25.3,26.9,5.1,5.7,-72
"NOV",8,"SLA",11,5.9,1.5,-2.1,-6.5,0.35,0.39,0.12,0.07,25.3,23.6,8.7,-6.1,-59.2
"DEC",9,"SEL",13,7.91,2.9,-1.09,-6.1,0.42,0.46,0.12,0.11,24.6,19.36,4.8,-19.2,-72.4
"DEC",9,"WEL",11,8.5,3.9,-0.5,-7.1,0.46,0.51,0.16,0.15,24.6,23.2,5.4,-5.1,-70.2
"DEC",9,"NUT",22,9.2,3.8,0.2,3.8,0.51,0.5,0.16,0.1,24.6,27.3,6.4,9.9,-66.6
"DEC",9,"WLA",11,12.1,1.9,3.1,-7.1,0.72,0.61,0.09,0.13,24.6,27.8,5.8,11.7,-68.7
"DEC",9,"SLA",9,8.2,1.9,-0.8,-7.1,0.44,0.39,0.09,0.13,24.6,22.6,7.9,-7.3,-61.1
