"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",2674.4,99,64,72.3,56.9,86,0.61,216,36,0.45,38.9,60,"RS04_BI"
"Max",3285,112,65.7,73.9,58.8,86,0.63,226,51,0.49,45.6,66.1,NA
"Min",2126.1,79,61.9,70.1,54.5,85,0.57,208,28,0.49,29.4,49.4,NA
