"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1927-12","33","-0.55","-1.33","-18.24"
"1928-04","1935-03","29","-0.77","-1.43","-22.45"
"1935-04","1946-12","57","-0.33","-1.08","-18.79"
"1947-03","1954-12","44","-0.67","-1.53","-29.37"
"1957-06","1964-11","45","-0.67","-1.82","-30.17"
"1965-05","1977-08","102","-0.7","-2.14","-71.54"
"1977-10","1982-03","26","-0.88","-2.13","-22.89"
"1983-03","1985-10","30","-0.58","-1.24","-17.51"
"1986-02","2004-03","82","-1.04","-2.14","-85.04"
"2005-04","2014-11","115","-1.25","-2.3","-143.56"
"2015-04","2019-12","21","-0.36","-0.79","-7.5"
