"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",4.3,2.7,2.9,2.1,1.7,0.7,1.2,1.3,1.1,2.5,3.2,3,27
"Min TA [°F]",60.4,60.3,61.2,62.5,63.9,65.7,66.6,67.3,66.7,65.9,64.3,62,63.9
"Mean TA [°F]",67.5,67.4,68.2,69.6,71.2,73.1,73.8,74.6,73.9,73.4,71.1,68.8,71.1
"Max TA [°F]",76.6,76.4,77,77.9,79.4,81.3,81.9,82.8,82.8,81.8,79.5,77.4,79.6
"RH [%]",80,79,79,80,80,80,79,79,78,79,80,79,80
"CF [%]",44,47,51,45,43,38,38,36,33,45,45,40,42
"ET [in]",2,2,2,2,2,1,2,2,2,2,2,2,22
"SM [%]",47,47,43,41,36,28,24,29,28,35,43,44,37
"S [W m/2]",170,198,218,254,257,267,263,259,238,196,174,168,222
