"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1032.8,27,71.1,79.6,63.9,80,0.37,222,22,0.42,8.4,18.2,"RS31_MO"
"Max",1347.5,29,72.3,80.7,65.3,81,0.52,227,38,0.43,9.4,19.2,NA
"Min",649.6,23,70.1,78.7,62.9,77,0.33,216,18,0.43,7.1,16.2,NA
