"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",3.2,"SEL",10,2.03,0.1,-1.17,-3.1,0.36,0.42,0.18,0.24,6.9,3.94,0.4,-30.7,-67.4
"JAN",3.2,"WEL",13,3.3,0.2,0.1,-3,0.51,0.56,0.18,0.25,6.9,6.1,0.4,-8.3,-67.4
"JAN",3.2,"NUT",20,3.6,0.2,0.4,0.2,0.55,0.5,0.18,0.08,6.9,7.6,0.3,7.3,-68.4
"JAN",3.2,"WLA",17,2.8,0.2,-0.4,-3,0.45,0.42,0.18,0.18,6.9,7.5,0.4,6.2,-67.4
"JAN",3.2,"SLA",10,4.7,0.4,1.5,-2.8,0.67,0.63,0.2,0.2,6.9,7.1,0.5,2.1,-66.3
"FEB",2,"SEL",9,0.67,0.2,-1.33,-1.8,0.25,0.31,0.18,0.21,4.5,2.31,0.6,-30.2,-53.8
"FEB",2,"WEL",8,1.7,0.1,-0.3,-1.8,0.44,0.6,0.17,0.19,4.5,3.4,0.3,-15.2,-58
"FEB",2,"NUT",27,2.4,0.1,0.4,0.1,0.58,0.5,0.17,0.15,4.5,4.7,0.1,2.7,-60.7
"FEB",2,"WLA",16,2.4,0.2,0.4,-1.8,0.58,0.56,0.18,0.17,4.5,5.8,0.3,17.9,-58
"FEB",2,"SLA",8,1.2,0,-0.8,-2,0.34,0.32,0.15,0.14,4.5,6.8,4.5,31.7,0
"MAR",1.7,"SEL",7,1.24,0.1,-0.46,-1.6,0.4,0.51,0.19,0.25,3.2,2.69,0.6,-8.5,-43.7
"MAR",1.7,"WEL",5,1.1,0.1,-0.6,-1.7,0.37,0.48,0.19,0.25,3.2,2.4,0.2,-13.4,-50.4
"MAR",1.7,"NUT",37,1.6,0,-0.1,0,0.48,0.5,0.18,0.14,3.2,3.1,0,-1.7,-53.8
"MAR",1.7,"WLA",16,2.3,0,0.6,-1.7,0.63,0.53,0.18,0.19,3.2,3.6,0.1,6.8,-52.1
"MAR",1.7,"SLA",3,1.2,0.1,-0.5,-1.6,0.4,0.35,0.19,0.2,3.2,5.6,4.5,40.4,21.9
"APR",0.8,"SEL",2,0.4,0.3,-0.4,-0.5,0.34,0.39,0.31,0.33,1.7,1.75,0.7,1.2,-22.5
"APR",0.8,"WEL",11,0.6,0.1,-0.2,-0.7,0.42,0.5,0.24,0.24,1.7,1.5,0.1,-4.5,-35.9
"APR",0.8,"NUT",41,0.7,0,-0.1,0,0.45,0.49,0.21,0.2,1.7,1.7,0,0,-38.2
"APR",0.8,"WLA",14,1.1,0.1,0.3,-0.7,0.61,0.46,0.24,0.22,1.7,1.6,0.1,-2.2,-35.9
"APR",0.8,"SLA",1,4.4,4.4,3.6,3.6,1,0.99,1,0.99,1.7,4.4,4.4,60.7,60.7
"MAY",0.7,"SEL",2,1.05,0.2,0.35,-0.5,0.7,0.62,0.27,0.25,1.2,1.73,0.4,13.4,-20.2
"MAY",0.7,"WEL",14,0.7,0,0,-0.7,0.52,0.46,0.19,0.18,1.2,1.1,0,-2.5,-30.4
