"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1052.6,15,71.1,79.8,64,80,0.21,203,11,0.47,2.5,12.1,"RS20_MA"
"Max",1541.2,18,72.5,81.1,65.5,83,0.27,206,15,0.47,4.3,13.8,NA
"Min",633.4,13,69.5,78.3,62.2,77,0.18,200,9,0.47,1.7,10.9,NA
