"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.2,2.1,1.2,0.8,0.9,0.3,0.3,0.3,0.3,0.4,2.1,2.7,15
"Min TA [°F]",60.4,60.3,61.2,62.5,63.9,65.7,66.6,67.3,66.8,66.1,64.4,62,64
"Mean TA [°F]",67.5,67.4,68.3,69.7,71.3,73.1,73.9,74.7,74,73.7,71.2,68.8,71.1
"Max TA [°F]",76.6,76.4,77.1,78.1,79.5,81.3,82.1,83,83,82.3,79.7,77.4,79.8
"RH [%]",80,79,80,80,81,81,80,79,79,79,80,79,80
"CF [%]",41,45,53,53,52,51,47,44,44,45,45,39,47
"ET [in]",2,2,2,1,1,0,0,0,0,0,1,1,11
"SM [%]",43,41,33,23,20,13,2,1,2,5,27,39,21
"S [W m/2]",179,203,215,233,222,221,220,214,197,188,173,169,203
