"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-12","1927-12","45","-0.41","-1.64","-18.51"
"1928-12","1929-11","11","-0.43","-1.3","-4.76"
"1931-01","1932-02","13","-1.22","-1.58","-15.89"
"1933-02","1936-12","43","-0.5","-1.5","-21.38"
"1938-02","1943-01","38","-0.44","-1.12","-16.77"
"1944-01","1944-03","2","-1.37","-1.51","-2.74"
"1944-05","1946-01","20","-0.65","-2.83","-12.91"
"1946-04","1948-01","20","-0.44","-1.44","-8.76"
"1949-11","1955-01","38","-0.94","-2.28","-35.66"
"1957-01","1961-11","37","-0.64","-1.76","-23.8"
"1962-02","1965-01","14","-0.74","-1.23","-10.34"
"1970-01","1972-12","21","-0.38","-1.48","-7.98"
"1973-02","1974-01","11","-1.4","-1.75","-15.37"
"1975-01","1979-01","48","-0.87","-2.16","-41.63"
"1981-01","1982-01","12","-0.81","-1.16","-9.72"
"1983-03","1985-11","32","-0.6","-1.33","-19.17"
"1986-11","1992-12","18","-0.89","-1.55","-16.04"
"1993-11","1996-03","28","-0.69","-1.81","-19.42"
"1998-02","2002-04","50","-1.52","-2.95","-76.16"
"2003-05","2004-01","8","-0.43","-1.18","-3.47"
"2005-05","2006-03","6","-0.38","-1","-2.26"
"2006-09","2007-12","3","-0.61","-1","-1.82"
"2008-12","2011-02","17","-1.15","-1.83","-19.6"
"2011-12","2014-03","27","-2.01","-2.7","-54.27"
"2016-02","2019-12","22","-0.38","-0.95","-8.45"
