"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",565.3,13,72.9,81.4,65.9,76,0.54,213,35,0.43,1.5,11.4,"RS17_MA"
"Max",807.3,15,73.7,82.1,66.7,77,1,224,71,0.45,1.9,13.1,NA
"Min",318.1,12,72.2,80.7,65.1,74,0.17,203,8,0.45,1.3,10.3,NA
