"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.1,1.9,1.3,0.7,0.5,0.1,0.1,0.1,0.2,0.4,1.8,2.7,13
"Min TA [°F]",62.3,62.2,63.1,64.4,65.8,67.6,68.6,69.3,68.8,68,66.3,63.9,65.9
"Mean TA [°F]",69.3,69.2,70,71.5,73.1,74.9,75.8,76.5,75.9,75.6,73,70.5,72.9
"Max TA [°F]",78.2,78.1,78.7,79.7,81.2,82.9,83.9,84.6,84.7,83.9,81.4,79,81.4
"RH [%]",77,76,76,76,76,75,75,75,74,75,76,76,76
"CF [%]",40,42,51,48,48,46,40,38,37,42,42,37,43
"ET [in]",3,3,4,3,3,3,3,3,2,3,3,3,35
"SM [%]",67,65,60,55,52,48,46,46,46,46,57,64,54
"S [W m/2]",180,209,219,241,232,230,240,238,219,197,179,172,213
