"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1927-12","32","-0.69","-1.52","-22"
"1928-12","1935-01","25","-0.79","-1.95","-19.66"
"1935-09","1936-12","15","-0.69","-1.39","-10.38"
"1939-05","1946-12","63","-0.7","-1.82","-43.79"
"1947-12","1950-04","13","-0.65","-1.52","-8.4"
"1951-11","1954-12","37","-1.23","-2.23","-45.66"
"1957-02","1957-12","10","-0.7","-1.1","-7.05"
"1960-12","1963-11","32","-0.62","-1.97","-19.92"
"1963-12","1964-12","12","-0.67","-1.1","-8.05"
"1966-07","1978-12","94","-0.81","-1.91","-75.69"
"1981-03","1982-01","10","-0.82","-1.37","-8.19"
"1983-04","1985-07","27","-0.74","-1.64","-19.98"
"1991-12","1993-03","13","-0.64","-1.14","-8.35"
"1993-12","1996-06","18","-0.81","-1.41","-14.6"
"1996-08","2002-03","48","-0.93","-2.01","-44.47"
"2002-12","2004-03","15","-1.1","-1.72","-16.43"
"2006-03","2014-03","96","-1.22","-2.43","-116.77"
"2017-09","2019-12","4","-0.06","-0.13","-0.26"
