"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",8.4,6.9,10.9,8.6,4.5,2.9,4.2,3.6,2.9,4,7.4,9,73
"Min TA [°F]",57,56.9,57.6,58.8,60.3,62.1,62.9,63.6,63.2,62.3,60.8,58.5,60.3
"Mean TA [°F]",64.2,63.9,64.6,65.8,67.6,69.5,70,70.9,70.6,69.9,67.5,65.1,67.5
"Max TA [°F]",73.3,72.8,73.4,74,75.8,77.8,78.1,79.2,79.6,78.4,75.9,73.5,75.8
"RH [%]",83,83,84,86,86,87,85,84,84,84,83,83,84
"CF [%]",44,50,54,51,44,34,30,27,29,40,43,43,41
"ET [in]",3,2,3,3,3,3,3,3,3,3,2,2,35
"SM [%]",62,60,63,64,57,50,49,50,48,49,55,61,56
"S [W m/2]",176,197,213,247,257,289,293,287,259,216,181,168,232
