"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1891.8,73,67.5,75.8,60.3,84,0.56,232,35,0.41,22.1,51.2,"RS22_MA"
"Max",2574.5,102,69.1,77.4,62,86,0.61,238,55,0.43,32.8,68.8,NA
"Min",1450.2,47,65.2,73.7,57.7,82,0.46,223,3,0.43,12.5,34.2,NA
