,Unnamed: 0,Year,Month,RF_mm,RF_in,RF
1218,1218,2021.0,July,131.5390716889945,5.178703609802934,5.178703609802934
1219,1219,2021.0,August,193.87547479281767,7.632892708378649,7.632892708378649
1220,1220,2021.0,September,101.16357346002567,3.982817852756917,3.982817852756917
1221,1221,2021.0,October,158.54171618045365,6.24179984962416,6.24179984962416
1222,1222,2021.0,November,33.34437918267856,1.3127708339637227,1.3127708339637227
1223,1223,2021.0,December,188.1332765863745,7.406821912849391,7.406821912849391
1224,1224,2022.0,January,21.61307022979905,0.8509082767637421,0.8509082767637421
1225,1225,2022.0,February,49.178329720681546,1.9361547134126595,1.9361547134126595
1226,1226,2022.0,March,111.86748947227858,4.404231868987345,4.404231868987345
1227,1227,2022.0,April,179.95908663417754,7.085003410794392,7.085003410794392
1228,1228,2022.0,May,122.24666755634118,4.812860927415008,4.812860927415008
1229,1229,2022.0,June,92.19242218186184,3.629622920545741,3.629622920545741
