"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",233.7,37,73.7,81.8,66.9,72,0.74,251,58,0.36,10.7,26.2,"Rs50_MA"
"Max",603.7,50,74.5,82.7,67.8,75,1,252,89,0.37,14.8,35,NA
"Min",0.1,28,72.5,80.7,65.6,70,0.36,248,5,0.37,7.6,19.9,NA
