"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1921-11","11","-0.47","-1.2","-5.2"
"1925-11","1927-07","20","-1","-2.14","-19.96"
"1928-09","1935-02","41","-0.81","-2.36","-33.2"
"1935-05","1936-12","19","-0.56","-1.39","-10.58"
"1939-05","1946-12","54","-0.77","-1.94","-41.76"
"1947-01","1950-04","20","-0.39","-1.07","-7.84"
"1951-12","1954-12","36","-1.15","-2.59","-41.3"
"1957-02","1965-02","66","-0.65","-1.8","-43.13"
"1966-04","1967-07","15","-0.46","-1.28","-6.96"
"1970-03","1978-11","90","-0.98","-2.18","-88.01"
"1981-03","1982-02","10","-1.52","-2.07","-15.17"
"1983-03","1985-12","33","-0.82","-2.33","-27.15"
"1986-02","1992-12","13","-0.76","-1.44","-9.91"
"1993-01","1996-12","28","-0.52","-1.02","-14.6"
"1998-01","2002-10","53","-0.69","-1.94","-36.66"
"2002-11","2004-01","14","-0.79","-1.33","-11.02"
"2004-02","2011-02","57","-0.69","-1.9","-39.18"
"2011-04","2013-02","16","-0.48","-1.18","-7.65"
"2013-04","2019-12","18","-0.35","-0.77","-6.29"
