,Month,RF_in,rolledMonth,RF
0,January,10.545612536728287,July,7.136430411233373
1,February,9.467316693481637,August,8.171359588734674
2,March,12.39718362659286,September,5.8029993549826715
3,April,10.679173883365195,October,6.888231154041565
4,May,6.451693842714654,November,10.812535741021899
5,June,4.4235577785149065,December,11.97481479804936
6,July,7.136430411233373,January,10.545612536728287
7,August,8.171359588734674,February,9.467316693481637
8,September,5.8029993549826715,March,12.39718362659286
9,October,6.888231154041565,April,10.679173883365195
10,November,10.812535741021899,May,6.451693842714654
11,December,11.97481479804936,June,4.4235577785149065
