"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",95.6,16,74.5,82.8,67.6,71,0.65,213,43,0.47,2.1,14.1,"Rs51_MA"
"Max",167.3,17,74.7,82.9,67.8,72,0.74,229,59,0.53,2.4,14.8,NA
"Min",36,15,74.3,82.6,67.4,70,0.22,195,3,0.53,1.8,13.4,NA
