"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.5,2.2,1.9,1.1,0.6,0.1,0.2,0.2,0.2,0.8,2.3,3.1,16
"Min TA [°F]",64,63.9,64.8,66.1,67.6,69.3,70.3,71.1,70.6,69.7,68,65.6,67.6
"Mean TA [°F]",70.8,70.8,71.6,73,74.7,76.5,77.4,78.1,77.5,77.1,74.5,72,74.5
"Max TA [°F]",79.5,79.5,80.1,81,82.6,84.4,85.3,86.1,86.2,85.3,82.7,80.2,82.8
"RH [%]",73,71,71,71,70,69,70,70,70,71,73,72,71
"CF [%]",45,48,54,50,51,45,47,46,42,46,45,42,47
"ET [in]",3,3,4,4,4,4,4,4,3,3,3,3,43
"SM [%]",71,70,68,66,64,62,61,62,62,63,66,69,65
"S [W m/2]",177,201,216,232,234,251,240,235,227,198,176,166,213
