"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.3,2.4,2.1,1.5,1.2,0.4,0.6,0.8,0.3,2.4,2.5,3.2,21
"Min TA [°F]",62.1,62,62.9,64.3,65.6,67.4,68.4,69.1,68.6,67.7,66.1,63.7,65.7
"Mean TA [°F]",69.1,69.1,69.9,71.2,72.9,74.7,75.6,76.3,75.7,75.1,72.8,70.4,72.7
"Max TA [°F]",78.1,77.9,78.5,79.4,80.9,82.7,83.6,84.4,84.4,83.4,81.1,78.8,81.2
"RH [%]",77,76,76,76,76,76,75,75,75,76,77,76,76
"CF [%]",42,45,49,43,39,31,32,32,28,40,41,39,38
"ET [in]",2,2,2,2,2,1,1,1,0,2,2,2,19
"SM [%]",44,42,38,34,29,20,12,17,12,28,40,42,30
"S [W m/2]",177,206,231,271,280,301,289,279,259,212,185,171,238
