"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",584.5,21,72.7,81.2,65.7,76,0.3,238,19,0.38,5.8,15,"RS26_MO"
"Max",774.6,23,73.4,81.7,66.4,77,0.52,246,36,0.41,6.4,16.3,NA
"Min",377.3,20,72.1,80.6,65,74,0.29,232,13,0.41,5.5,14.3,NA
