"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1923-02","24","-0.48","-1.25","-11.48"
"1924-02","1927-12","41","-0.56","-1.08","-23"
"1928-12","1929-11","11","-0.69","-1.36","-7.56"
"1931-01","1932-02","13","-0.53","-1.12","-6.85"
"1932-10","1937-01","51","-0.77","-1.46","-39.05"
"1938-02","1942-11","37","-0.64","-1.53","-23.76"
"1943-12","1946-01","25","-0.59","-2.22","-14.84"
"1946-04","1948-02","22","-0.92","-1.38","-20.34"
"1949-04","1954-11","44","-0.79","-1.93","-34.72"
"1957-02","1961-01","25","-0.74","-2.18","-18.61"
"1961-05","1971-01","27","-0.71","-1.37","-19.12"
"1971-11","1974-03","25","-0.7","-1.47","-17.56"
"1975-01","1979-01","45","-0.69","-1.69","-31.2"
"1981-03","1985-10","38","-0.55","-1.11","-20.88"
"1986-11","1996-07","55","-0.7","-2.19","-38.76"
"1996-08","2002-02","49","-1.08","-1.64","-52.83"
"2003-10","2014-03","77","-0.96","-2.13","-73.72"
"2016-02","2019-12","19","-0.22","-0.77","-4.18"
