"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",9.8,"SEL",10,5.52,0.8,-4.28,-9,0.29,0.46,0.12,0.15,36.3,20.93,5.2,-39.4,-79.7
"JAN",9.8,"WEL",13,5.8,0.7,-4,-7.8,0.3,0.48,0.12,0.14,36.3,34.3,9.2,-5.1,-69.4
"JAN",9.8,"NUT",20,13.1,1.9,3.3,1.9,0.67,0.5,0.15,0.13,36.3,39.5,5.7,8.2,-78.4
"JAN",9.8,"WLA",17,8.5,2,-1.3,-7.8,0.43,0.39,0.16,0.1,36.3,40.4,9.3,10.5,-69.1
"JAN",9.8,"SLA",10,13.4,2.5,3.6,-7.3,0.68,0.68,0.17,0.11,36.3,37.9,9.4,4.1,-68.9
"FEB",12.2,"SEL",9,9.92,1.7,-2.28,-10.5,0.41,0.49,0.16,0.24,39.4,24.76,9.3,-34.7,-71.4
"FEB",12.2,"WEL",8,10.9,1.8,-1.3,-11.1,0.45,0.52,0.16,0.24,39.4,40.7,13.8,3.1,-60.7
"FEB",12.2,"NUT",27,11.3,2,-0.9,2,0.46,0.5,0.17,0.17,39.4,39.2,6.1,-0.5,-79
"FEB",12.2,"WLA",16,15.4,1.1,3.2,-11.1,0.62,0.53,0.15,0.09,39.4,45.3,10.7,14,-68.1
"FEB",12.2,"SLA",8,13,0.9,0.8,-11.3,0.53,0.43,0.14,0.08,39.4,52.2,34.6,30.4,-11.4
"MAR",14.3,"SEL",7,5.49,2.7,-8.81,-11.6,0.2,0.28,0.13,0.18,37.1,23.34,11.4,-34.5,-64.5
"MAR",14.3,"WEL",5,17.6,6.7,3.3,-8.1,0.63,0.8,0.23,0.33,37.1,40.5,16.5,8.5,-51.7
"MAR",14.3,"NUT",37,15.1,1.8,0.8,1.8,0.53,0.5,0.11,0.14,37.1,37.2,6.1,0.3,-77.8
"MAR",14.3,"WLA",16,16.5,6.2,2.2,-8.1,0.58,0.59,0.22,0.11,37.1,41.7,13,11.5,-60.5
"MAR",14.3,"SLA",3,11.5,6,-2.8,-8.3,0.39,0.31,0.21,0.1,37.1,55.1,49.6,45.2,31.4
"APR",12.9,"SEL",2,9.35,4.9,-3.55,-8,0.32,0.33,0.14,0.1,30.4,33.38,18.4,9,-36.2
"APR",12.9,"WEL",11,12.2,5.3,-0.7,-9.5,0.46,0.53,0.15,0.12,30.4,30.7,14.6,0.9,-47.7
"APR",12.9,"NUT",41,12.8,2.3,-0.1,2.3,0.49,0.5,0.08,0.09,30.4,30.1,6.9,-0.9,-70.9
"APR",12.9,"WLA",14,13.4,3.4,0.5,-9.5,0.52,0.46,0.1,0.09,30.4,30.1,8.3,-0.9,-66.7
"APR",12.9,"SLA",1,27.7,27.7,14.8,14.8,0.98,0.95,0.98,0.95,30.4,48.1,47.7,53.4,52.2
"MAY",9.9,"SEL",2,8.5,3.8,-1.4,-6.1,0.4,0.34,0.14,0.07,28,37.5,22.7,30.9,-17.2
"MAY",9.9,"WEL",14,10.7,4.5,0.8,-6.5,0.56,0.53,0.17,0.09,28,30,14,6.5,-45.5
"MAY",9.9,"NUT",40,9.3,2,-0.6,2,0.46,0.5,0.08,0.08,28,27.9,8.8,-0.3,-62.4
"MAY",9.9,"WLA",12,11.8,3.4,1.9,-6.5,0.63,0.52,0.13,0.17,28,26.1,11,-6.2,-55.3
"MAY",9.9,"SLA",1,15.9,15.9,6,6,0.85,0.71,0.85,0.71,28,26.6,25.9,-4.6,-6.8
"JUN",7.6,"SEL",3,15.53,9.7,7.93,2.1,0.98,0.92,0.72,0.56,30.1,41.89,22.5,35.9,-23.1
"JUN",7.6,"WEL",12,7.8,4.8,0.2,-6.1,0.52,0.39,0.22,0.18,30.1,34.5,15.1,13.4,-45.7
"JUN",7.6,"NUT",40,8,2.6,0.4,2.6,0.54,0.5,0.09,0.05,30.1,29.4,11.5,-2.1,-56.6
"JUN",7.6,"WLA",11,4.9,1.5,-2.7,-6.1,0.23,0.51,0.05,0.01,30.1,27.8,10.8,-7,-58.8
"JUN",7.6,"SLA",2,4.5,4.1,-3.1,-3.5,0.2,0.41,0.17,0.31,30.1,18.2,13.6,-36.2,-50.2
"JUL",10.5,"SEL",6,13.47,9.2,2.97,-1.3,0.74,0.56,0.39,0.28,31.2,36.79,16.7,16.5,-42.7
"JUL",10.5,"WEL",8,11.5,4.7,1,-4.4,0.59,0.43,0.11,0.08,31.2,34,14.5,8.2,-49.2
"JUL",10.5,"NUT",41,10.6,4.2,0.1,4.2,0.51,0.5,0.09,0.07,31.2,30.2,10.4,-2.9,-61.3
"JUL",10.5,"WLA",9,9.4,6.1,-1.1,-4.4,0.41,0.67,0.18,0.3,31.2,31.4,14.1,0.6,-50.4
"JUL",10.5,"SLA",2,6.2,5.9,-4.3,-4.6,0.18,0.31,0.17,0.28,31.2,22,13.2,-27.1,-53
"AUG",12,"SEL",7,12.89,3.6,0.89,-8.4,0.55,0.43,0.14,0.11,32.2,37.48,14.3,15.1,-51.2
"AUG",12,"WEL",12,15.2,5.6,3.2,-8.8,0.66,0.54,0.21,0.16,32.2,34,14.9,5.1,-49.5
"AUG",12,"NUT",34,10.8,4.7,-1.2,4.7,0.44,0.5,0.18,0.23,32.2,30.8,9.5,-4,-65
"AUG",12,"WLA",12,13.5,3.2,1.5,-8.8,0.58,0.62,0.13,0.06,32.2,34.5,15.8,6.6,-46.9
"AUG",12,"SLA",5,7.5,3.6,-4.5,-8.4,0.28,0.22,0.14,0.07,32.2,25.4,12.3,-19.5,-56.9
"SEP",8.7,"SEL",8,10.43,3.9,1.73,-4.8,0.65,0.66,0.14,0.16,35.2,41.42,13.1,16.4,-58.2
"SEP",8.7,"WEL",8,7.3,4.2,-1.4,-3.9,0.38,0.4,0.16,0.18,35.2,29.5,15.2,-15,-52.7
"SEP",8.7,"NUT",36,8.8,1.5,0.1,1.5,0.51,0.5,0.05,0.07,35.2,35.4,7.9,0.5,-71.9
"SEP",8.7,"WLA",11,8.5,4.8,-0.2,-3.9,0.48,0.52,0.19,0.1,35.2,37.2,22.1,5.3,-34.5
"SEP",8.7,"SLA",5,8.3,3.7,-0.4,-5,0.46,0.49,0.13,0.05,35.2,32.4,11.5,-7.4,-62.5
"OCT",11.5,"SEL",10,14.16,6.8,2.66,-4.7,0.68,0.62,0.21,0.17,40.2,41.89,11.8,3.9,-66.1
"OCT",11.5,"WEL",10,11.5,5.1,0,-3.7,0.5,0.44,0.14,0.11,40.2,33.8,14.8,-14.9,-59.1
"OCT",11.5,"NUT",30,11.2,3.3,-0.3,3.3,0.48,0.5,0.08,0.11,40.2,39.7,7.6,-1.2,-75.9
"OCT",11.5,"WLA",10,12.5,7.8,1,-3.7,0.57,0.62,0.26,0.26,40.2,45.5,20.8,12.3,-45.2
"OCT",11.5,"SLA",8,9.6,5,-1.9,-6.5,0.37,0.39,0.13,0.12,40.2,37.3,14.5,-6.8,-59.8
"NOV",15,"SEL",14,16.83,2.4,1.83,-12.6,0.59,0.63,0.07,0.08,38.5,33.25,5.8,-12.7,-79.3
"NOV",15,"WEL",12,10.7,5.9,-4.3,-5.5,0.31,0.34,0.14,0.16,38.5,28.1,10.4,-25.2,-68.1
"NOV",15,"NUT",22,15.4,3.1,0.4,3.1,0.52,0.5,0.08,0.11,38.5,41.6,6.2,7.5,-78.3
"NOV",15,"WLA",11,16.2,9.5,1.2,-5.5,0.56,0.55,0.26,0.2,38.5,41.5,15,7.3,-57
"NOV",15,"SLA",11,14.5,2.8,-0.5,-12.2,0.48,0.45,0.07,0.03,38.5,41.1,12,6.3,-64.3
"DEC",13.7,"SEL",13,10.9,2.6,-2.8,-11.1,0.38,0.44,0.1,0.08,35.7,26.34,5.1,-24.3,-79.6
"DEC",13.7,"WEL",11,11.6,3.8,-2.1,-10.2,0.41,0.48,0.13,0.11,35.7,28.3,6.3,-19.2,-76.5
"DEC",13.7,"NUT",22,13.1,1.2,-0.6,1.2,0.47,0.5,0.08,0.06,35.7,37.5,5.1,4.7,-79.6
"DEC",13.7,"WLA",11,16.8,3.5,3.1,-10.2,0.64,0.51,0.12,0.12,35.7,40.7,6.6,13,-75.7
"DEC",13.7,"SLA",9,13.2,6.7,-0.5,-7,0.48,0.38,0.21,0.19,35.7,39.6,10.1,10.1,-66.6
