"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1927-11","34","-0.95","-2.61","-32.19"
"1928-12","1935-02","43","-0.79","-2.18","-33.84"
"1935-10","1936-08","9","-0.63","-1.25","-5.65"
"1940-02","1941-12","22","-1.01","-2.18","-22.33"
"1943-03","1945-03","24","-0.88","-1.55","-21.08"
"1945-05","1954-12","52","-0.6","-1.65","-31.45"
"1956-01","1960-02","24","-0.36","-1.23","-8.55"
"1961-04","1963-10","28","-0.81","-2.49","-22.65"
"1965-09","1974-08","46","-0.38","-1.23","-17.56"
"1974-09","1975-02","5","-0.51","-1.02","-2.54"
"1975-04","1979-01","36","-0.73","-1.52","-26.1"
"1980-02","1980-03","1","-1.19","-1.19","-1.19"
"1981-03","1982-03","12","-1.79","-2.7","-21.52"
"1983-04","1985-10","29","-1.11","-2.06","-32.21"
"1985-11","1986-08","8","-0.42","-1.02","-3.35"
"1988-12","1994-02","26","-0.72","-1.66","-18.64"
"1995-09","1999-02","41","-0.71","-1.62","-29.06"
"1999-09","2000-11","14","-0.84","-1.54","-11.71"
"2000-12","2004-03","26","-0.94","-1.84","-24.38"
"2004-08","2006-02","16","-0.53","-1.5","-8.5"
"2007-03","2008-02","11","-1","-1.39","-10.96"
"2008-09","2009-08","11","-0.39","-1.38","-4.32"
"2010-02","2014-10","56","-1.12","-2.37","-62.96"
"2014-12","2019-12","22","-0.5","-0.92","-10.93"
