"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",338.5,141,71.8,78.8,65.3,73,0.76,211,40,0.6,63.9,77.3,"Rs54_BI"
"Max",745.5,161,72.9,79.8,66.4,77,1,215,62,0.63,74.1,87.1,NA
"Min",0,130,70.2,77.5,63.8,71,0.66,201,15,0.63,58.6,71.3,NA
