"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",10.6,10.7,15.7,13,9.7,8.6,11.8,11.3,10.9,11.6,15.5,11.8,141
"Min TA [°F]",62.6,62.4,63,64,65.5,66.6,67.9,68.1,67.6,67.2,66.1,63.9,65.3
"Mean TA [°F]",69.2,69,69.4,70.2,72,73,74.1,74.3,74.2,73.8,72.1,69.7,71.8
"Max TA [°F]",77.4,77,77.1,77.2,79,79.8,80.8,81.2,81.9,80.9,79.3,76.7,78.8
"RH [%]",75,74,73,73,73,73,72,72,72,73,75,74,73
"CF [%]",52,63,68,71,63,61,57,56,54,60,59,59,60
"ET [in]",3,3,3,3,4,4,4,4,4,3,3,3,40
"SM [%]",76,76,78,79,76,73,75,76,76,76,78,79,76
"S [W m/2]",174,189,203,218,244,250,254,244,238,198,169,151,211
