,Month,RF_in,rolledMonth,RF
0,January,10.939051426416748,July,10.396085776165748
1,February,11.551491494216863,August,11.865628786796858
2,March,15.15403967729985,September,9.154062461740914
3,April,12.872252306155797,October,11.463674325964156
4,May,9.527491658698922,November,14.02463220330334
5,June,7.363366044976366,December,14.622995449631325
6,July,10.396085776165748,January,10.939051426416748
7,August,11.865628786796858,February,11.551491494216863
8,September,9.154062461740914,March,15.15403967729985
9,October,11.463674325964156,April,12.872252306155797
10,November,14.02463220330334,May,9.527491658698922
11,December,14.622995449631325,June,7.363366044976366
