"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",7.8,4.8,8.3,6.1,4.4,2.4,3.9,4.1,4.7,6,8.1,6.7,67
"Min TA [°F]",49,48.9,49.4,50.9,52,54,54.8,55.4,54.5,53.8,52.7,50.5,52.1
"Mean TA [°F]",56.9,56.6,57.1,58.7,59.9,62,62.7,63.3,62.4,61.8,60.1,58.1,60
"Max TA [°F]",66.9,66.4,66.6,67.9,68.8,71,71.7,72.4,72,70.9,69.2,67.6,69.1
"RH [%]",79,80,84,88,86,88,86,86,87,86,83,81,85
"CF [%]",52,58,59,56,50,45,37,36,39,50,53,52,49
"ET [in]",2,2,2,3,2,2,2,2,2,2,2,2,26
"SM [%]",59,57,58,59,53,45,44,48,50,53,58,59,54
"S [W m/2]",174,188,210,229,245,259,277,262,226,197,170,168,217
