"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",4068.7,67,60,69.1,52.1,85,0.54,217,26,0.49,25.5,41.8,"RS14_BI"
"Max",4693,72,62.4,71.3,54.6,86,0.55,224,29,0.5,27.4,46.4,NA
"Min",3390.3,62,57.8,67.2,49.8,83,0.52,210,23,0.5,24.4,37.7,NA
