"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",10.7,9.6,13.5,12.6,9.2,8.4,10.9,9.6,11,11.4,15,10.4,132
"Min TA [°F]",63.3,63.2,63.8,65,66.3,67.5,68.6,69.1,68.5,68.2,66.8,64.8,66.2
"Mean TA [°F]",69.8,69.7,70.2,71.1,72.7,73.9,74.6,75.4,74.9,74.7,72.6,70.5,72.5
"Max TA [°F]",78,77.6,77.9,78.2,79.7,80.8,81.3,82.3,82.7,81.9,79.6,77.5,79.7
"RH [%]",73,72,71,71,71,70,70,71,70,72,73,73,71
"CF [%]",55,66,70,68,63,61,57,57,54,62,63,61,61
"ET [in]",3,2,3,3,3,3,3,3,3,3,3,2,35
"SM [%]",66,66,68,70,67,62,64,65,65,67,70,69,67
"S [W m/2]",168,181,199,218,245,246,255,240,234,190,159,149,207
