"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",132.1,132,72.5,79.7,66.2,71,0.67,207,35,0.61,60.4,71.8,"Rs56_BI"
"Max",284.8,139,72.9,80.1,66.6,73,0.67,216,59,0.64,63.2,75.8,NA
"Min",38.9,125,71.8,79,65.6,70,0.66,197,25,0.64,57.5,67.6,NA
