"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",2875.2,58,64.1,72.7,56.5,86,0.52,180,24,0.54,21.4,36.6,"RS10_BI"
"Max",3012.1,72,64.4,73.1,57,86,1,191,59,0.57,29,44.7,NA
"Min",2720.3,45,63.6,72.3,56.2,86,0.46,167,19,0.57,16.1,28.9,NA
