"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",7,4.6,8,6.4,3.9,3.6,4.5,3.6,2.4,3.4,5.7,4.9,58
"Min TA [°F]",53.5,53.3,53.9,55.3,56.4,58.4,59.1,59.7,59.3,58.7,57.2,54.9,56.5
"Mean TA [°F]",61,60.7,61.3,62.6,63.9,66.1,66.5,67.2,66.8,66.7,64.3,62,64.1
"Max TA [°F]",70.7,70,70.4,71.3,72.3,74.7,74.9,75.8,76.1,75.6,73.1,71,72.7
"RH [%]",83,84,86,89,88,90,88,87,87,87,85,84,86
"CF [%]",51,62,64,60,56,54,51,48,46,49,52,52,54
"ET [in]",2,2,2,2,2,2,2,2,2,2,2,2,24
"SM [%]",56,56,57,59,53,48,50,49,45,45,52,54,52
"S [W m/2]",163,161,176,186,198,193,200,198,198,180,153,149,180
