"Date","Year","Month","RF"
"1931/09","1931","09","4.1"
"1931/10","1931","10","5.2"
"1931/11","1931","11","2.9"
"1931/12","1931","12","11.1"
"1932/01","1932","01","2.2"
"1932/02","1932","02","14"
"1932/03","1932","03","4.4"
"1932/04","1932","04","6.3"
"1932/05","1932","05","3.6"
"1932/06","1932","06","3.4"
"1932/07","1932","07","3.6"
"1932/08","1932","08","2.4"
"1932/09","1932","09","1.5"
"1932/10","1932","10","0.8"
"1932/11","1932","11","3.4"
"1932/12","1932","12","2.2"
"1933/01","1933","01","3"
"1933/02","1933","02","3.1"
"1933/03","1933","03","8.3"
"1933/04","1933","04","4"
"1933/05","1933","05","2.6"
"1933/06","1933","06","1.5"
"1933/07","1933","07","4.8"
"1933/08","1933","08","1.8"
"1933/09","1933","09","2.5"
"1933/10","1933","10","1.4"
"1933/11","1933","11","6.2"
"1933/12","1933","12","1.8"
"1934/01","1934","01","4.9"
"1934/02","1934","02","4.3"
"1934/03","1934","03","3.7"
"1934/04","1934","04","8.9"
"1934/05","1934","05","8.5"
"1934/06","1934","06","2.5"
"1934/07","1934","07","2.2"
"1934/08","1934","08","3"
"1934/09","1934","09","2.6"
"1934/10","1934","10","3.9"
"1934/11","1934","11","4.4"
"1934/12","1934","12","1.6"
"1935/01","1935","01","6.9"
"1935/02","1935","02","5.5"
"1935/03","1935","03","7"
"1935/04","1935","04","7.1"
"1935/05","1935","05","3.4"
"1935/06","1935","06","2.5"
"1935/07","1935","07","3.6"
"1935/08","1935","08","1.9"
"1935/09","1935","09","1.9"
"1935/10","1935","10","4.5"
"1935/11","1935","11","3.5"
"1935/12","1935","12","2.7"
"1936/01","1936","01","6.3"
"1936/02","1936","02","9.2"
"1936/03","1936","03","8.8"
"1936/04","1936","04","11.9"
"1936/05","1936","05","8.7"
"1936/06","1936","06","4.3"
"1936/07","1936","07","3.3"
"1936/08","1936","08","5.2"
"1936/09","1936","09","2.6"
"1936/10","1936","10","6.8"
"1936/11","1936","11","4.9"
"1936/12","1936","12","23.3"
"1937/01","1937","01","10.5"
"1937/02","1937","02","8.8"
"1937/03","1937","03","8.8"
"1937/04","1937","04","3.6"
"1937/05","1937","05","6.1"
"1937/06","1937","06","3.4"
"1937/07","1937","07","4.8"
"1937/08","1937","08","8.7"
"1937/09","1937","09","3"
"1937/10","1937","10","4.1"
"1937/11","1937","11","4.2"
"1937/12","1937","12","4.6"
"1938/01","1938","01","10.8"
"1938/02","1938","02","3"
"1938/03","1938","03","8"
"1938/04","1938","04","9.7"
"1938/05","1938","05","7.6"
"1938/06","1938","06","2.8"
"1938/07","1938","07","2.5"
"1938/08","1938","08","3.6"
"1938/09","1938","09","0.8"
"1938/10","1938","10","2.4"
"1938/11","1938","11","1.4"
"1938/12","1938","12","4.4"
"1939/01","1939","01","10"
"1939/02","1939","02","3.1"
"1939/03","1939","03","4.6"
"1939/04","1939","04","9.6"
"1939/05","1939","05","1.5"
"1939/06","1939","06","2"
"1939/07","1939","07","5"
"1939/08","1939","08","3.2"
"1939/09","1939","09","1.6"
"1939/10","1939","10","3.1"
"1939/11","1939","11","6"
"1939/12","1939","12","3"
"1940/01","1940","01","3.6"
"1940/02","1940","02","2.3"
"1940/03","1940","03","5.9"
"1940/04","1940","04","3.4"
"1940/05","1940","05","4"
"1940/06","1940","06","2.2"
"1940/07","1940","07","3.5"
