"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1158.5,22,70.6,79.2,63.5,80,0.32,198,17,0.49,6.6,15.4,"Rs44_LA"
"Max",1318.9,28,70.9,79.4,63.8,81,0.52,206,25,0.5,9.4,18.5,NA
"Min",1095.6,20,70.1,78.8,62.9,80,0.29,194,14,0.5,5.3,14.3,NA
