"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.3,2.7,1.9,1.4,1.2,1,0.8,0.5,1.3,1.7,2.7,3.4,22
"Min TA [°F]",60,59.9,60.7,62.1,63.4,65.2,66.1,66.9,66.2,65.5,63.9,61.6,63.5
"Mean TA [°F]",67.1,67.1,67.8,69.2,70.7,72.6,73.4,74.2,73.4,73,70.7,68.4,70.6
"Max TA [°F]",76.2,76.2,76.6,77.6,78.8,80.8,81.5,82.5,82.2,81.5,79.2,77,79.2
"RH [%]",80,80,80,81,81,82,80,80,79,80,80,80,80
"CF [%]",50,52,55,52,53,50,45,44,37,50,49,46,49
"ET [in]",2,2,2,2,2,1,1,1,1,1,1,2,17
"SM [%]",45,44,40,33,28,25,22,17,23,31,38,44,32
"S [W m/2]",164,188,202,219,216,219,224,217,216,180,166,161,198
