,Unnamed: 0,Year,Month,RF_mm,RF_in,RF
1218,1218,2021.0,July,13.27403890451736,0.5225999568707622,0.5225999568707622
1219,1219,2021.0,August,26.150870323181152,1.0295618237472894,1.0295618237472894
1220,1220,2021.0,September,22.404670568612907,0.882073644433579,0.882073644433579
1221,1221,2021.0,October,27.77853360260732,1.0936430552207608,1.0936430552207608
1222,1222,2021.0,November,19.488472836962817,0.7672627101166464,0.7672627101166464
1223,1223,2021.0,December,295.5149795261361,11.634448012840004,11.634448012840004
1224,1224,2022.0,January,12.474210640382484,0.4911106551331687,0.4911106551331687
1225,1225,2022.0,February,18.407532742742955,0.7247060134938171,0.7247060134938171
1226,1226,2022.0,March,11.9080556892079,0.4688210901262953,0.4688210901262953
1227,1227,2022.0,April,9.992373077121712,0.3934005148473115,0.3934005148473115
1228,1228,2022.0,May,32.30936416084244,1.2720222110567891,1.2720222110567891
1229,1229,2022.0,June,17.90391282358113,0.7048784576213044,0.7048784576213044
