,Month,ET,Year,MonthYr
0,July,30.41293784865789,2021,July 2021
1,August,28.46167266641405,2021,August 2021
2,September,26.077747252747255,2021,September 2021
3,October,21.670512820512823,2021,October 2021
4,November,17.619087463741078,2021,November 2021
5,December,14.274950004727366,2021,December 2021
6,January,17.07811524894858,2022,January 2022
7,February,19.571835164835168,2022,February 2022
8,March,18.38576850780798,2022,March 2022
9,April,27.03900955529942,2022,April 2022
10,May,24.800252363507283,2022,May 2022
11,June,29.223598901098903,2022,June 2022
