,datetime,ET
0,2001-01-01,34.02448979591837
1,2001-01-09,13.232653061224491
2,2001-01-17,11.360204081632654
3,2001-01-25,13.257653061224492
4,2001-02-02,14.606632653061226
5,2001-02-10,19.21166666666667
6,2001-02-18,14.484183673469389
7,2001-02-26,20.366477272727273
8,2001-03-06,21.00918367346939
9,2001-03-14,21.968877551020412
10,2001-03-22,14.748469387755103
11,2001-03-30,15.830136986301369
12,2001-04-07,19.48826530612245
13,2001-04-15,25.153225806451616
14,2001-04-23,24.23112244897959
15,2001-05-01,23.824489795918367
16,2001-05-09,20.887500000000003
17,2001-05-17,18.86685393258427
18,2001-05-25,26.577439024390245
19,2001-06-02,27.079591836734693
20,2001-06-10,23.383419689119172
21,2001-06-18,10.193264248704665
22,2001-07-04,22.247448979591837
23,2001-07-12,29.086096256684495
24,2001-07-20,21.0765306122449
25,2001-07-28,29.92295918367347
26,2001-08-05,25.26326530612245
27,2001-08-13,25.938265306122453
28,2001-08-21,25.914285714285718
29,2001-08-29,16.911702127659577
30,2001-09-06,15.921938775510206
31,2001-09-14,20.33421052631579
32,2001-09-22,22.631122448979593
33,2001-09-30,25.58265306122449
34,2001-10-08,23.264795918367348
35,2001-10-16,21.44744897959184
36,2001-10-24,23.106417112299468
37,2001-11-01,20.14864864864865
38,2001-11-09,15.700000000000001
39,2001-11-17,8.794897959183674
40,2001-11-25,15.450000000000001
41,2001-12-03,16.434183673469388
42,2001-12-11,17.050510204081633
43,2001-12-19,15.609693877551022
44,2001-12-27,13.682142857142859
45,2002-01-01,16.941326530612244
46,2002-01-09,20.50357142857143
47,2002-01-17,17.519897959183677
48,2002-01-25,14.676086956521742
49,2002-02-02,18.29234693877551
50,2002-02-10,20.2734375
51,2002-02-18,22.012755102040817
52,2002-02-26,20.492631578947368
53,2002-03-06,24.698936170212768
54,2002-03-14,19.571698113207546
55,2002-03-30,18.761666666666667
56,2002-04-07,28.56836734693878
57,2002-04-15,29.60615384615385
58,2002-04-23,22.85
59,2002-05-01,17.907446808510638
60,2002-05-09,22.27
61,2002-05-17,41.40245398773007
62,2002-05-25,30.615
63,2002-06-02,38.52702702702703
64,2002-06-10,37.17551020408163
65,2002-06-18,35.053061224489795
66,2002-06-26,30.2875
67,2002-07-04,31.659166666666664
68,2002-07-12,29.244387755102043
69,2002-07-20,31.381481481481487
70,2002-07-28,27.074456521739133
71,2002-08-05,29.238775510204086
72,2002-08-13,25.792346938775513
73,2002-08-21,25.914942528735637
74,2002-08-29,24.607653061224493
75,2002-09-06,25.62204301075269
76,2002-09-14,24.9515306122449
77,2002-09-22,20.75372340425532
78,2002-09-30,17.75820105820106
79,2002-10-08,20.518115942028984
80,2002-10-16,19.58397435897436
81,2002-10-24,15.73112244897959
82,2002-11-01,13.82295918367347
83,2002-11-09,16.602551020408164
84,2002-11-17,12.716836734693878
85,2002-11-25,15.046739130434782
86,2002-12-03,14.008536585365855
87,2002-12-11,10.924489795918369
88,2002-12-19,13.44974358974359
89,2002-12-27,8.876041666666667
