,Month,ET,Year,MonthYr
0,July,35.012884889327196,2021,July 2021
1,August,42.116696325354866,2021,August 2021
2,September,39.69066657862487,2021,September 2021
3,October,33.378548951048955,2021,October 2021
4,November,28.58671903188387,2021,November 2021
5,December,17.449516687016686,2021,December 2021
6,January,28.07731349217524,2022,January 2022
7,February,29.334847728901682,2022,February 2022
8,March,27.558582879612825,2022,March 2022
9,April,28.935636363636362,2022,April 2022
10,May,36.927878716094455,2022,May 2022
11,June,34.494231864420094,2022,June 2022
