,datetime,NDVI
0,2000-02-18,0.1858423076923077
1,2000-03-05,0.17776648351648353
2,2000-03-21,0.1719379120879121
3,2000-04-06,0.16840714285714287
4,2000-04-22,0.16840384615384615
5,2000-05-08,0.1620543956043956
6,2000-05-24,0.16540384615384615
7,2000-06-09,0.17103186813186813
8,2000-06-25,0.18230054945054947
9,2000-07-11,0.179939010989011
10,2000-07-27,0.17636923076923078
11,2000-08-12,0.16941868131868132
12,2000-08-28,0.16616098901098902
13,2000-09-13,0.16661923076923077
14,2000-09-29,0.2334802197802198
15,2000-10-15,0.22682197802197804
16,2000-10-31,0.32984065934065937
17,2000-11-16,0.3837164835164835
18,2000-12-02,0.3949346153846154
19,2000-12-18,0.36854890109890115
20,2001-01-01,0.3221730769230769
21,2001-01-17,0.28549615384615384
22,2001-02-02,0.24891263736263738
23,2001-02-18,0.2212813186813187
24,2001-03-06,0.2057813186813187
25,2001-03-22,0.1946681318681319
26,2001-04-07,0.18367637362637365
27,2001-04-23,0.18217252747252746
28,2001-05-09,0.17483791208791208
29,2001-05-25,0.1756379120879121
30,2001-06-10,0.21859065934065935
31,2001-06-26,0.18319285714285713
32,2001-07-12,0.1764989010989011
33,2001-07-28,0.16907747252747254
34,2001-08-13,0.1745098901098901
35,2001-08-29,0.17312967032967033
36,2001-09-14,0.17170384615384615
37,2001-09-30,0.17346648351648353
38,2001-10-16,0.17515769230769232
39,2001-11-01,0.17312362637362638
40,2001-11-17,0.17162362637362638
41,2001-12-03,0.3052978021978022
42,2001-12-19,0.3807565934065934
43,2002-01-01,0.43613076923076927
44,2002-01-17,0.4367472527472528
45,2002-02-02,0.5006489010989011
46,2002-02-18,0.5226021978021977
47,2002-03-06,0.5000065934065935
48,2002-03-22,0.4796241758241759
49,2002-04-07,0.40975989010989017
50,2002-04-23,0.36833626373626377
51,2002-05-09,0.427589010989011
52,2002-05-25,0.4284521978021978
53,2002-06-10,0.37691703296703294
54,2002-06-26,0.3128472527472528
55,2002-07-12,0.2672857142857143
56,2002-07-28,0.24218296703296707
57,2002-08-13,0.22996373626373626
58,2002-08-29,0.26804175824175824
59,2002-09-14,0.25531483516483516
60,2002-09-30,0.24536208791208794
61,2002-10-16,0.33001868131868134
62,2002-11-01,0.27099945054945057
63,2002-11-17,0.25248736263736266
64,2002-12-03,0.22746923076923078
65,2002-12-19,0.23165384615384615
66,2003-01-01,0.2101868131868132
67,2003-01-17,0.2292802197802198
68,2003-02-02,0.3025054945054945
69,2003-02-18,0.28745219780219783
70,2003-03-06,0.2768175824175825
71,2003-03-22,0.27411758241758244
72,2003-04-07,0.27135384615384617
73,2003-04-23,0.2679379120879121
74,2003-05-09,0.20742087912087914
75,2003-05-25,0.1972934065934066
76,2003-06-10,0.18761373626373629
77,2003-06-26,0.192489010989011
78,2003-07-12,0.18551098901098903
79,2003-07-28,0.18883901098901099
80,2003-08-13,0.2090197802197802
81,2003-08-29,0.1971434065934066
82,2003-09-14,0.1875521978021978
83,2003-09-30,0.18423516483516486
84,2003-10-16,0.18551813186813187
85,2003-11-01,0.18696923076923078
86,2003-11-17,0.18494065934065934
87,2003-12-03,0.30771703296703296
88,2003-12-19,0.3343346153846154
89,2004-01-01,0.44327417582417583
90,2004-01-17,0.5423945054945055
91,2004-02-02,0.5391087912087912
92,2004-02-18,0.4896587912087912
93,2004-03-05,0.48767142857142853
94,2004-03-21,0.5004164835164836
95,2004-04-06,0.49666098901098904
96,2004-04-22,0.4369406593406594
97,2004-05-08,0.4522510989010989
98,2004-05-24,0.40550164835164837
99,2004-06-09,0.3824802197802198
100,2004-06-25,0.31968296703296706
101,2004-07-11,0.2722428571428572
102,2004-07-27,0.2703763736263736
103,2004-08-12,0.24701703296703295
104,2004-08-28,0.24143351648351652
105,2004-09-13,0.22536923076923077
106,2004-09-29,0.21720274725274727
107,2004-10-15,0.26373626373626374
108,2004-10-31,0.30333736263736266
109,2004-11-16,0.28537197802197806
110,2004-12-02,0.27664395604395603
111,2004-12-18,0.3206126373626374
112,2005-01-01,0.4355994505494506
113,2005-01-17,0.4087027472527473
114,2005-02-02,0.5112697802197802
115,2005-02-18,0.44673571428571435
116,2005-03-06,0.3961071428571429
117,2005-03-22,0.41589230769230773
118,2005-04-07,0.3778725274725275
119,2005-04-23,0.36535219780219785
120,2005-05-09,0.32246428571428576
121,2005-05-25,0.2927791208791209
122,2005-06-10,0.2621318681318681
123,2005-06-26,0.22605879120879122
124,2005-07-12,0.21505604395604397
125,2005-07-28,0.19276208791208793
126,2005-08-13,0.21698736263736265
127,2005-08-29,0.2805521978021978
128,2005-09-14,0.2666032967032967
129,2005-09-30,0.24696098901098903
130,2005-10-16,0.2422747252747253
131,2005-11-01,0.23696098901098905
132,2005-11-17,0.23270934065934068
133,2005-12-03,0.26989175824175826
134,2005-12-19,0.2586049450549451
135,2006-01-01,0.23779615384615388
136,2006-01-17,0.2191901098901099
137,2006-02-02,0.3272
138,2006-02-18,0.30308076923076926
139,2006-03-06,0.3173934065934066
140,2006-03-22,0.4172824175824176
141,2006-04-07,0.3859620879120879
142,2006-04-23,0.37746373626373625
143,2006-05-09,0.35709835164835163
144,2006-05-25,0.3173181318681319
145,2006-06-10,0.3011263736263736
146,2006-06-26,0.24677912087912088
147,2006-07-12,0.2295043956043956
148,2006-07-28,0.2010021978021978
149,2006-08-13,0.20387417582417583
150,2006-08-29,0.1937434065934066
151,2006-09-14,0.1896247252747253
152,2006-09-30,0.18745879120879122
153,2006-10-16,0.34001428571428577
154,2006-11-01,0.4696109890109891
