,Month,NDVI,Year
0,July,0.19776346153846153,2021.0
1,August,0.22106978021978024,2021.0
2,September,0.2182879120879121,2021.0
3,October,0.20482087912087915,2021.0
4,November,0.202675,2021.0
5,December,0.35926895604395603,2021.0
6,January,0.4567596153846154,2022.0
7,February,0.37157747252747253,2022.0
8,March,0.2781821428571429,2022.0
9,April,0.20743461538461538,2022.0
10,May,0.1877552197802198,2022.0
11,June,0.20190137362637361,2022.0
