,Month,RF_in,rolledMonth,RF
0,January,1.9331299811866145,July,0.5825553248220863
1,February,1.515623569437001,August,0.7079954203030222
2,March,1.541916884186787,September,0.5423531192917809
3,April,1.0399033075023214,October,0.8184566892023517
4,May,0.9853576704226708,November,1.314768065476809
5,June,0.5852594255579976,December,1.7630959140805567
6,July,0.5825553248220863,January,1.9331299811866145
7,August,0.7079954203030222,February,1.515623569437001
8,September,0.5423531192917809,March,1.541916884186787
9,October,0.8184566892023517,April,1.0399033075023214
10,November,1.314768065476809,May,0.9853576704226708
11,December,1.7630959140805567,June,0.5852594255579976
