"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1328.4,44,70,78.5,62.8,81,0.43,221,31,0.43,11.2,33.5,"RS27_MO"
"Max",2208.7,67,72.8,81.1,65.7,85,0.53,226,51,0.44,20.7,48.7,NA
"Min",538.8,25,67.2,75.8,59.8,76,0.31,212,17,0.44,4.6,20.2,NA
