"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",6.6,5.5,5.5,4.2,3,1.3,1.1,2.7,1.4,1.8,5,6.5,44
"Min TA [°F]",59.3,59.2,60,61.3,62.7,64.5,65.5,66.2,65.7,64.8,63.2,60.8,62.8
"Mean TA [°F]",66.4,66.3,67.1,68.5,70,72,72.8,73.6,73,72.4,70,67.6,70
"Max TA [°F]",75.6,75.4,76,76.8,78.2,80.2,81.1,81.9,82,80.8,78.5,76.2,78.5
"RH [%]",81,81,81,82,83,83,82,81,80,81,81,81,81
"CF [%]",46,46,51,48,44,38,38,36,34,43,46,41,43
"ET [in]",3,3,3,3,3,2,2,3,2,2,2,3,31
"SM [%]",57,56,54,51,45,35,24,33,35,30,45,55,43
"S [W m/2]",166,197,219,244,255,271,266,259,237,201,173,164,221
