"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1929-11","59","-0.35","-1.37","-20.87"
"1931-01","1932-02","13","-0.72","-1.23","-9.36"
"1932-09","1937-01","51","-0.76","-1.48","-38.65"
"1938-03","1942-11","19","-0.54","-1.68","-10.17"
"1943-11","1945-09","11","-0.23","-1.16","-2.56"
"1945-11","1955-01","72","-0.86","-2.77","-62.14"
"1956-12","1961-01","32","-0.74","-1.81","-23.78"
"1961-03","1965-02","16","-0.75","-1.62","-12.06"
"1969-12","1971-01","13","-0.95","-1.32","-12.37"
"1971-11","1972-12","13","-0.51","-1.32","-6.6"
"1973-02","1974-01","11","-0.96","-1.4","-10.61"
"1975-01","1978-11","45","-0.66","-1.43","-29.6"
"1981-05","1985-10","37","-0.58","-1.42","-21.54"
"1986-10","1996-06","37","-0.57","-1.56","-21.08"
"1996-10","2002-02","50","-1.05","-1.85","-52.43"
"2003-10","2007-12","25","-1.02","-2.08","-25.47"
"2008-03","2014-01","70","-1.61","-3.76","-112.67"
"2015-02","2019-12","25","-0.34","-0.9","-8.53"
