"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",5998.4,35,53.6,63.6,45.1,75,0.4,205,22,0.45,9.2,25.9,"RS21_MA"
"Max",8114.9,39,60.1,69.5,52.1,85,0.52,247,31,0.52,10.3,29.4,NA
"Min",3994.5,30,48.2,58.3,39.7,61,0.37,185,15,0.52,8.1,21.9,NA
