"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",6.4,3.9,4.3,2.3,2,1,1,1.4,1.8,1.8,3.7,5.3,35
"Min TA [°F]",42,41.8,42.5,43.8,44.9,47.2,47.7,48.4,47.6,46.9,45.7,43.5,45.1
"Mean TA [°F]",50.5,50,50.8,52.2,53.3,55.9,56,57,56,55.7,53.7,51.7,53.6
"Max TA [°F]",61.3,60.5,61,62.2,62.9,65.7,65.8,67,66.4,65.8,63.7,62.2,63.6
"RH [%]",67,68,74,78,74,77,77,78,80,79,73,71,75
"CF [%]",41,50,54,54,48,45,43,39,39,46,44,41,45
"ET [in]",2,2,2,2,2,2,1,2,2,2,2,2,22
"SM [%]",55,53,49,45,37,31,24,27,32,34,42,50,40
"S [W m/2]",183,200,205,213,225,233,234,232,213,178,172,171,205
