"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",4260.7,38,59.1,68.6,51.3,84,0.44,171,20,0.59,20.8,17.2,"RS09_BI"
"Max",5176.1,47,61.9,71,54.4,86,0.48,181,22,0.63,27.1,19.9,NA
"Min",3279.4,32,56.3,66.1,48.2,80,0.41,166,17,0.63,17.1,15.2,NA
