"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.3,2.5,3.6,3.1,4,2.9,4,3.2,3.8,2.7,2.5,2.3,38
"Min TA [°F]",48.4,48.2,48.7,50,51,52.5,53.5,54.1,53.4,53.1,52,49.8,51.3
"Mean TA [°F]",56.5,56.1,56.6,57.9,58.8,60.2,61.1,61.9,61.2,61.3,59.5,57.7,59.1
"Max TA [°F]",66.9,66.3,66.3,67.1,67.7,69,69.9,70.9,70.8,70.6,68.9,67.7,68.6
"RH [%]",78,79,83,87,85,87,85,85,87,86,82,80,84
"CF [%]",53,63,67,70,64,63,59,56,51,56,56,54,59
"ET [in]",1,1,2,2,2,2,2,2,2,2,1,1,20
"SM [%]",41,43,44,45,46,46,46,46,46,45,40,39,44
"S [W m/2]",154,153,170,176,190,190,193,186,182,166,147,139,171
