"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",5.1,4.3,4.6,2.4,1.7,1.3,1.6,1.9,2.1,3.5,3.6,4.7,37
"Min TA [°F]",61.5,61.4,62.2,63.5,65.1,66.7,67.7,68.5,67.9,66.9,65.4,63.1,65.1
"Mean TA [°F]",68.6,68.4,69.3,70.7,72.4,74.1,75.1,75.8,75,74.5,72.2,69.7,72.1
"Max TA [°F]",77.3,77,77.6,78.6,80.3,81.9,82.9,83.8,83.6,82.5,80.2,77.8,80.4
"RH [%]",77,76,76,76,76,76,76,75,75,76,77,76,76
"CF [%]",46,48,52,52,48,46,42,43,37,46,46,43,46
"ET [in]",2,2,2,2,2,2,2,2,2,2,2,2,21
"SM [%]",51,51,51,46,36,30,30,34,36,42,46,49,42
"S [W m/2]",160,183,206,234,235,230,235,221,215,186,162,153,202
