"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",751.1,37,72.1,80.4,65.1,76,0.42,202,21,0.46,12.1,24.6,"RS32_OA"
"Max",2634.8,49,74.7,82.9,67.9,86,0.52,211,33,0.49,16.4,32.2,NA
"Min",0,29,65.6,74.7,58.2,70,0.37,192,15,0.49,9.5,19,NA
