"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",298.5,59,73,81,66.4,73,0.75,200,51,0.59,25.3,33.9,"Rs37_KA"
"Max",462.8,70,74,81.9,67.4,74,1,206,75,0.62,31.6,38.2,NA
"Min",9.8,48,72.5,80.4,65.9,70,0.48,192,30,0.62,19.1,29,NA
