"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",5.9,"SEL",10,2.31,0.6,-3.59,-5.3,0.22,0.33,0.13,0.18,17.6,7.43,1.5,-50,-79.1
"JAN",5.9,"WEL",13,4.5,1.2,-1.4,-5.2,0.38,0.57,0.16,0.22,17.6,13.3,5.7,-21.1,-58.5
"JAN",5.9,"NUT",20,7.4,1,1.5,1,0.62,0.5,0.15,0.11,17.6,18.5,2.5,4.4,-74.2
"JAN",5.9,"WLA",17,6.5,0.7,0.6,-5.2,0.55,0.48,0.14,0.11,17.6,22.8,3.4,25.6,-69.8
"JAN",5.9,"SLA",10,7.1,2.5,1.2,-3.4,0.6,0.53,0.24,0.19,17.6,18.6,4.5,4.9,-64.4
"FEB",5.1,"SEL",9,2.63,0.1,-2.47,-5,0.23,0.29,0.07,0.05,16.6,6.42,1.5,-52.6,-78.1
"FEB",5.1,"WEL",8,5,2.8,-0.1,-3.9,0.49,0.69,0.25,0.31,16.6,12.1,6,-23.3,-54.8
"FEB",5.1,"NUT",27,4.7,0.5,-0.4,0.5,0.45,0.5,0.09,0.1,16.6,16.2,3,-2.1,-70.3
"FEB",5.1,"WLA",16,6.9,1.2,1.8,-3.9,0.7,0.55,0.12,0.08,16.6,22.2,5.3,28.9,-58.4
"FEB",5.1,"SLA",8,5.4,0.4,0.3,-4.7,0.54,0.39,0.08,0.06,16.6,17.5,8,4.7,-44.4
"MAR",6.6,"SEL",7,2.49,0.8,-4.11,-5.8,0.26,0.39,0.18,0.11,15.6,7.49,5.1,-44.2,-57.2
"MAR",6.6,"WEL",5,3.8,1.7,-2.8,-5.1,0.33,0.67,0.22,0.23,15.6,12.2,5.1,-18.5,-57.2
"MAR",6.6,"NUT",37,6.4,1,-0.2,1,0.49,0.5,0.19,0.13,15.6,15.5,3.2,-0.5,-67.6
"MAR",6.6,"WLA",16,9.4,1.5,2.8,-5.1,0.67,0.52,0.21,0.2,15.6,19.5,4.5,21.3,-60.5
"MAR",6.6,"SLA",3,6.1,1.6,-0.5,-5,0.47,0.38,0.21,0.2,15.6,16.4,11.9,4.4,-20.2
"APR",4.9,"SEL",2,1.3,0.6,-3.6,-4.3,0.13,0.15,0.09,0.07,12.1,7.3,6.1,-32.3,-40.4
"APR",4.9,"WEL",11,3.3,1.5,-1.6,-2.3,0.31,0.58,0.14,0.18,12.1,11.6,4.6,-3.4,-50.5
"APR",4.9,"NUT",41,5.1,1.5,0.2,1.5,0.53,0.5,0.14,0.14,12.1,12.6,3.1,3.4,-60.6
