,Month,NDVI,Year
0,July,0.6358887573964497,2021.0
1,August,0.7859585798816568,2021.0
2,September,0.7723020710059172,2021.0
3,October,0.7545142011834319,2021.0
4,November,0.7685801775147929,2021.0
5,December,0.7632671597633136,2021.0
6,January,0.7818417159763315,2022.0
7,February,0.7071798816568048,2022.0
8,March,0.6778943786982249,2022.0
9,April,0.6948881656804734,2022.0
10,May,0.7458893491124261,2022.0
11,June,0.7120863905325444,2022.0
